"product_title","store_name","store_rating","offerpageurl","store_review_count","store_reviews_page_url","price","shipping","on_sale","original_price","product_condition"
"Xiaomi 11i 5G Hyper Charge 128 GB, 8 GB, Pacific Pearl, Mobile Phone","JioMart - Electronics",,"https://www.jiomart.com/p/electronics/xiaomi-11i-5g-hyper-charge-128-gb-8-gb-pacific-pearl-mobile-phone/592109362?source=shoppingads","0",,"₹24,999.00","Free delivery by Mon, 7 Aug","false",,"NEW"
"Xiaomi 11i 5G Green / 8/128","buyyzodigital",,"https://buyyzo.com/products/copy-of-xiaomi-12-pro-8gb-256gb?variant=43875743138034&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq1xISgdtdJLoRSxxF2Ysgg38jWPnzq3dsceBkidnClIsOjOYVjE-A","0",,"₹26,999.00","Free delivery by Thu, 17 Aug","false",,"NEW"
"Redmi Note 11T 5G (6GB RAM, 128GB, Matte Black)","JustJaldi",,"https://www.justjaldi.com/redmi-note-11t-5g-matte-black-128-gb-6-gb-ram?srsltid=AfmBOorZIcGLIhFZOtlEzYV1JYBQxFsF8NYsG6Sfi265mh80v30pbgMPyLQ","0",,"₹16,490.00","Free delivery by Sat, 5 Aug","false",,"NEW"
"Original Xiaomi Mi 11 Lite 5G Mobile Phone 8GB RAM 128GB 256GB ROM Snapdragon 780G Android 6.55"" AMOLED Full Screen 64.0MP 4250mAh NFC Fingerpri","DHgate online store",,"https://www.dhgate.com/product/original-xiaomi-mi-11-lite-5g-mobile-phone/700986241.html?f=bm%7CGMC%7C%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D%7C%7Bcampaignid%7D%7C%7Badgroupid%7D%7C700986241%7C%7Btargetid%7D%7C105014043%7CUS%7Csmartphone_saler%7C%7Bdevice%7D%7C2%7C&utm_source=%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D&utm_medium=GMC&utm_campaign=smartphone_saler&utm_term=700986241","0",,"₹24,440.15 + tax","Free delivery","false",,"NEW"
"Xiaomi 11i 5G (Stealth Black, 128 GB) (8 GB RAM)","Zebrs",,"https://www.zebrs.com/products/xiaomi-11i-5g-stealth-black-128-gb-8-gb-ram","0",,"₹27,499.00","Free delivery by Sun, 20 Aug","false",,"NEW"
"Redmi 11i Hypercharge (8GB + 128GB ) Camo Green","Fonebook",,"https://www.fonebook.in/product/redmi-11i-hypercharge-8gb-128gb-camo-green/?srsltid=AfmBOorOWsRNBPe1jK9UC_1WW2HS3v6Xn1tdgzH1qqFJh4yJX94d8cT7B_s","0",,"₹29,499.00","Free delivery by Thu, 10 Aug","false",,"NEW"
"Redmi Note 11 Pro+ 5G Mirage Blue 8GB+128GB","Mi Store Palava",,"https://mistorepalava.in/product/redmi-note-11-pro-5g-mirage-blue-8gb128gb/?utm_source=Google%20Shopping&utm_campaign=Mi%20Store%20Palava&utm_medium=cpc&utm_term=11912&srsltid=AfmBOooZtSY4GO_JCe77fwLqShu69Nige4W1_JCzT7OkINZYHxqU0jCKYHA","0",,"₹22,999.00","₹31.00 delivery by Wed, 9 Aug","false",,"NEW"
"XIAOMI 11i 5G CAMO GREEN / 8GB 128G","Jmdcommunication.com",,"https://jmdcommunication.com/products/xiaomi-11i-hypercharge-5g?variant=39757909721167&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorbzeix_ifUokcKhr15inJDQiUHBaxe5j32zaZRLnoj0_0ab-CUpJQ","0",,"₹26,999.00","Free delivery by Tue, 15 Aug","false",,"NEW"
"Original Xiaomi Mi 11 Lite 5G Mobile Phone 8GB RAM 128GB 256GB ROM Snapdragon 780G Android 655 inch Full Screen 640MP AI 4250mAh8594063","DHgate online store",,"https://www.dhgate.com/product/original-xiaomi-mi-11-lite-5g-mobile-phone/868494388.html?f=bm%7CGMC%7C%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D%7C%7Bcampaignid%7D%7C%7Badgroupid%7D%7C868494388%7C%7Btargetid%7D%7C105014043%7CUS%7Cd1wt%7C%7Bdevice%7D%7C2%7C&utm_source=%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D&utm_medium=GMC&utm_campaign=d1wt&utm_term=868494388","0",,"₹26,252.86 + tax","Free delivery","false",,"NEW"
"Xiaomi Mi | 11I | 5G Enabled | 6GB Ram | 128GB Storage | Pacific Pearl","OhLocal",,"https://www.ohlocal.in/product?detail=product_details&product_id=SM115453XI&srsltid=AfmBOooLKp4ewwE586boW0naEcOWIz1bGuf94-xEWy5w6rkJrm1Nq5x2pus","0",,"₹23,010.00","Free delivery by Wed, 16 Aug","false",,"NEW"
"Xiaomi Civi 3 MI Smartphone Original 5G 12/256 GB Purple / Singapore","astore",,"https://www.astore.in/products/xiaomi-civi-3-mi-smartphone-original-5g?variant=45409058128150&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorekoNzFJja7fq82zE2HxsuvOc595FqvbFSPu60CBOa6iElpDbFIvc","0",,"₹59,999.00","Free delivery by Tue, 15 Aug","false",,"NEW"
"Original Xiaomi Redmi K30i 5G Mobile Phone 6GB RAM 128GB ROM Snapdragon 765G Octa Core Android 6.67"" Full Screen 48.0MP NFC Face ID Fingerprint","DHgate online store",,"https://www.dhgate.com/product/original-xiaomi-redmi-k30i-5g-mobile-phone/728329705.html?f=bm%7CGMC%7C%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D%7C%7Bcampaignid%7D%7C%7Badgroupid%7D%7C728329705%7C%7Btargetid%7D%7C105014043%7CUS%7Cnewest_price%7C%7Bdevice%7D%7C2%7C&utm_source=%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D&utm_medium=GMC&utm_campaign=newest_price&utm_term=728329705","0",,"₹18,693.28 + tax","Free delivery","false",,"NEW"
"Xiaomi 11i 5G 8GB Ram, 128GB Storage - Spill & Drop Protection","Supreme Mobiles",,"https://suprememobiles.in/products/xiaomi-11i-5g-8gb-ram-128gb-storage-spill-drop-protection?variant=41157080449081&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooX80_GNwxA6IOr2SXMt5nlkB91J4LdK_tG2XOkOACG82Ai3DcNODY","0",,"₹3,375.00","Free delivery by Tue, 15 Aug","false",,"NEW"
"Xiaomi 11i 5G (AMOLED Display 6.67 Inch) | Rear Camera108 MP | (Camo Green, 128 GB)(6 GB RAM)","Bidbuddy",,"http://www.bidbuddy.in/singleproduct?productname=Xiaomi%2011i%205G%20(AMOLED%20Display%206.67%20Inch)%20%7C%20Rear%20Camera108%20MP%20%7C%20(Camo%20Green,%20128%20GB)(6%20GB%20RAM)&productid=IIEGH84GGPNRHZEZ","0",,"₹29,999.00","Free delivery by Wed, 9 Aug","false",,"NEW"
"Xiaomi Civi 3 5G 50MP Camera 12GB+512GB","DYiParts.in",,"https://dyiparts.in/index.php/product/xiaomi-civi-3-5g-50mp-camera-12gb512gb/?srsltid=AfmBOopNC4mFKvaFEzvkE1T2Yr19I6bP_HMeh1XXLFSZ3eytgXYFa9SV200","0",,"₹41,750.00","₹50.00 delivery by Wed, 30 Aug","false",,"NEW"
"Buy Refurbished Xiaomi Redmi K50i 5G - Refurbished - Phantom Blue - 256 GB/8 GB - Good by Cashify","Cashify",,"https://www.cashify.in/buy-refurbished-mobile-phones/renewed-xiaomi-redmi-k50i/89033?srsltid=AfmBOop2tLljOpuPVXGb-4Gh4kb73vzKCQDRVVB0b6CCNVow7orZG3YDRaI","0",,"₹19,299.00","Free delivery by Thu, 17 Aug","false",,"REFURBISHED"
"Xiaomi Mi | 11I Hypercharge | 5G Enabled | 8GB Ram | 128GB Storage | Pacific Pearl","OhLocal",,"https://www.ohlocal.in/product?detail=product_details&product_id=SM940805XI&srsltid=AfmBOooI9bNPc3khrrHRkehyMtfWhkrN_EGjqlaoBM0Qq_8b02d-k20k0iQ","0",,"₹24,499.00","Free delivery by Wed, 16 Aug","false",,"NEW"
"Original Xiaomi CIVI 3 5G Mobile Phone Smart 16GB RAM 256GB 512GB ROM Dimensity 8200 Ultra 50.0MP NFC Android 6.55"" 120Hz OLED Curved Screen Fin","DHgate online store",,"https://www.dhgate.com/product/original-xiaomi-civi-3-5g-mobile-phone-smart/882962579.html?f=bm%7CGMC%7C%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D%7C%7Bcampaignid%7D%7C%7Badgroupid%7D%7C882962579%7C%7Btargetid%7D%7C105014043%7CUS%7Coriginal_cellphone%7C%7Bdevice%7D%7C2%7C&utm_source=%7Bifdyn:dyn%7D%7Bifpla:pla%7D%7Bifdbm:DBM%7D&utm_medium=GMC&utm_campaign=original_cellphone&utm_term=882962579","0",,"₹46,191.86 + tax","Free delivery","false",,"NEW"
"Xiaomi Civi 3 5G Dual Sim 256GB Mint Green (12GB RAM) - China Version at Etoren","Etoren.com",,"https://www.etoren.com/products/xiaomi-civi-3-5g-dual-sim-256gb-mint-green-12gb-ram-china-version?utm_source=google&utm_medium=free%20shopping&utm_campaign=free%20shopping&utm_content=free%20google%20shopping%20clicks","0",,"₹37,826.90 + tax","₹2,317.63 delivery by Sun, 20 Aug","false",,"NEW"
"Xiaomi 11i 5G Hypercharge (Purple Mist, 6GB RAM, 128GB Storage)","Zebrs",,"https://www.zebrs.com/products/xiaomi-11i-5g-hypercharge-purple-mist-6gb-ram-128gb-storage","0",,"₹27,499.00","Free delivery by Sun, 20 Aug","false",,"NEW"
